monthly gold prices (USD). Sources: goldprices.com for 1968-1996 and kitco.com for 1997 on.,
14-01-68,35.2
14-02-68,35.2
14-03-68,35.2
14-04-68,37.9
14-05-68,40.7
14-06-68,41.1
14-07-68,39.5
14-08-68,39.2
14-09-68,40.2
14-10-68,39.2
14-11-68,39.8
14-12-68,41.1
14-01-69,42.3
14-02-69,42.6
14-03-69,43.2
14-04-69,43.3
14-05-69,43.46
14-06-69,41.44
14-07-69,41.76
14-08-69,41.09
14-09-69,40.87
14-10-69,40.44
14-11-69,37.4
14-12-69,35.17
14-01-70,34.94
14-02-70,34.99
14-03-70,35.09
14-04-70,35.62
14-05-70,35.95
14-06-70,35.44
14-07-70,35.32
14-08-70,35.38
14-09-70,36.19
14-10-70,37.52
14-11-70,37.44
14-12-70,37.44
14-01-71,37.87
14-02-71,38.74
14-03-71,38.87
14-04-71,39.01
14-05-71,40.52
14-06-71,40.1
14-07-71,40.95
14-08-71,42.73
14-09-71,42.02
14-10-71,42.5
14-11-71,42.86
14-12-71,43.48
14-01-72,45.75
14-02-72,48.26
14-03-72,48.33
14-04-72,49.03
14-05-72,54.62
14-06-72,62.09
14-07-72,65.67
14-08-72,67.03
14-09-72,65.47
14-10-72,64.86
14-11-72,62.91
14-12-72,63.91
14-01-73,65.14
14-02-73,74.2
14-03-73,84.37
14-04-73,90.5
14-05-73,101.96
14-06-73,120.12
14-07-73,120.17
14-08-73,106.76
14-09-73,102.97
14-10-73,100.08
14-11-73,94.82
14-12-73,106.72
14-01-74,129.19
14-02-74,150.23
14-03-74,168.42
14-04-74,172.24
14-05-74,163.27
14-06-74,154.1
14-07-74,142.98
14-08-74,154.64
14-09-74,151.77
14-10-74,158.78
14-11-74,181.66
14-12-74,183.85
14-01-75,176.27
14-02-75,179.59
14-03-75,178.16
14-04-75,169.84
14-05-75,167.39
14-06-75,164.24
14-07-75,165.17
14-08-75,163
14-09-75,144.09
14-10-75,142.76
14-11-75,142.42
14-12-75,139.3
14-01-76,131.49
14-02-76,131.07
14-03-76,132.58
14-04-76,127.94
14-05-76,126.94
14-06-76,125.71
14-07-76,117.76
14-08-76,109.93
14-09-76,114.15
14-10-76,116.14
14-11-76,130.48
14-12-76,133.88
14-01-77,132.26
14-02-77,136.29
14-03-77,148.22
14-04-77,149.16
14-05-77,146.6
14-06-77,140.77
14-07-77,143.39
14-08-77,144.95
14-09-77,149.52
14-10-77,158.86
14-11-77,162.1
14-12-77,160.45
14-01-78,173.17
14-02-78,178.15
14-03-78,183.66
14-04-78,175.27
14-05-78,176.3
14-06-78,183.75
14-07-78,188.72
14-08-78,206.3
14-09-78,212.07
14-10-78,227.39
14-11-78,206.07
14-12-78,207.83
14-01-79,227.27
14-02-79,245.67
14-03-79,242.04
14-04-79,239.16
14-05-79,257.61
14-06-79,279.06
14-07-79,294.73
14-08-79,300.81
14-09-79,355.11
14-10-79,391.65
