monthly gold prices (USD). Sources: goldprices.com for 1968-1996 and kitco.com for 1997 on.,
14/01/1968,35.2
14/02/1968,35.2
14/03/1968,35.2
14/04/1968,37.9
14/05/1968,40.7
14/06/1968,41.1
14/07/1968,39.5
14/08/1968,39.2
14/09/1968,40.2
14/10/1968,39.2
14/11/1968,39.8
14/12/1968,41.1
14/01/1969,42.3
14/02/1969,42.6
14/03/1969,43.2
14/04/1969,43.3
14/05/1969,43.46
14/06/1969,41.44
14/07/1969,41.76
14/08/1969,41.09
14/09/1969,40.87
14/10/1969,40.44
14/11/1969,37.4
14/12/1969,35.17
14/01/1970,34.94
14/02/1970,34.99
14/03/1970,35.09
14/04/1970,35.62
14/05/1970,35.95
14/06/1970,35.44
14/07/1970,35.32
14/08/1970,35.38
14/09/1970,36.19
14/10/1970,37.52
14/11/1970,37.44
14/12/1970,37.44
14/01/1971,37.87
14/02/1971,38.74
14/03/1971,38.87
14/04/1971,39.01
14/05/1971,40.52
14/06/1971,40.1
14/07/1971,40.95
14/08/1971,42.73
14/09/1971,42.02
14/10/1971,42.5
14/11/1971,42.86
14/12/1971,43.48
14/01/1972,45.75
14/02/1972,48.26
14/03/1972,48.33
14/04/1972,49.03
14/05/1972,54.62
14/06/1972,62.09
14/07/1972,65.67
14/08/1972,67.03
14/09/1972,65.47
14/10/1972,64.86
14/11/1972,62.91
14/12/1972,63.91
14/01/1973,65.14
14/02/1973,74.2
14/03/1973,84.37
14/04/1973,90.5
14/05/1973,101.96
14/06/1973,120.12
14/07/1973,120.17
14/08/1973,106.76
14/09/1973,102.97
14/10/1973,100.08
14/11/1973,94.82
14/12/1973,106.72
14/01/1974,129.19
14/02/1974,150.23
14/03/1974,168.42
14/04/1974,172.24
14/05/1974,163.27
14/06/1974,154.1
14/07/1974,142.98
14/08/1974,154.64
14/09/1974,151.77
14/10/1974,158.78
14/11/1974,181.66
14/12/1974,183.85
14/01/1975,176.27
14/02/1975,179.59
14/03/1975,178.16
14/04/1975,169.84
14/05/1975,167.39
14/06/1975,164.24
14/07/1975,165.17
14/08/1975,163
14/09/1975,144.09
14/10/1975,142.76
14/11/1975,142.42
14/12/1975,139.3
14/01/1976,131.49
14/02/1976,131.07
14/03/1976,132.58
14/04/1976,127.94
14/05/1976,126.94
14/06/1976,125.71
14/07/1976,117.76
14/08/1976,109.93
14/09/1976,114.15
14/10/1976,116.14
14/11/1976,130.48
14/12/1976,133.88
14/01/1977,132.26
14/02/1977,136.29
14/03/1977,148.22
14/04/1977,149.16
14/05/1977,146.6
14/06/1977,140.77
14/07/1977,143.39
14/08/1977,144.95
14/09/1977,149.52
14/10/1977,158.86
14/11/1977,162.1
14/12/1977,160.45
14/01/1978,173.17
14/02/1978,178.15
14/03/1978,183.66
14/04/1978,175.27
14/05/1978,176.3
14/06/1978,183.75
14/07/1978,188.72
14/08/1978,206.3
14/09/1978,212.07
14/10/1978,227.39
14/11/1978,206.07
14/12/1978,207.83
14/01/1979,227.27
14/02/1979,245.67
14/03/1979,242.04
14/04/1979,239.16
14/05/1979,257.61
14/06/1979,279.06
14/07/1979,294.73
14/08/1979,300.81
14/09/1979,355.11
14/10/1979,391.65
14/11/1979,391.99
14/12/1979,455.08
14/01/1980,675.3
14/02/1980,665.32
14/03/1980,553.58
14/04/1980,517.41
14/05/1980,513.82
14/06/1980,600.71
14/07/1980,644.28
14/08/1980,627.14
14/09/1980,673.62
14/10/1980,661.14
14/11/1980,623.46
14/12/1980,594.92
14/01/1981,557.38
14/02/1981,499.76
14/03/1981,498.76
14/04/1981,495.8
14/05/1981,479.69
14/06/1981,464.76
14/07/1981,409.28
14/08/1981,410.15
14/09/1981,443.58
14/10/1981,437.75
14/11/1981,413.36
14/12/1981,410.09
14/01/1982,384.38
14/02/1982,374.13
14/03/1982,330.04
14/04/1982,350.34
14/05/1982,333.82
14/06/1982,314.98
14/07/1982,338.97
14/08/1982,364.23
14/09/1982,435.76
14/10/1982,422.15
14/11/1982,414.91
14/12/1982,444.3
14/01/1983,481.29
14/02/1983,491.96
14/03/1983,419.7
14/04/1983,432.93
14/05/1983,438.08
14/06/1983,412.84
14/07/1983,422.72
14/08/1983,416.24
14/09/1983,411.8
14/10/1983,393.58
14/11/1983,381.66
14/12/1983,389.36
14/01/1984,370.9
14/02/1984,386.33
14/03/1984,394.33
14/04/1984,381.36
14/05/1984,377.4
14/06/1984,377.67
14/07/1984,347.45
14/08/1984,347.7
14/09/1984,341.09
14/10/1984,340.17
14/11/1984,341.19
14/12/1984,320.14
14/01/1985,302.74
14/02/1985,299.1
14/03/1985,304.17
14/04/1985,324.74
14/05/1985,316.64
14/06/1985,316.83
14/07/1985,317.38
14/08/1985,329.33
14/09/1985,324.25
14/10/1985,325.93
14/11/1985,325.22
14/12/1985,320.81
14/01/1986,345.38
14/02/1986,338.89
14/03/1986,345.71
14/04/1986,340.44
14/05/1986,342.56
14/06/1986,342.57
14/07/1986,348.54
14/08/1986,376.6
14/09/1986,417.73
14/10/1986,423.51
14/11/1986,398.81
14/12/1986,391.23
14/01/1987,408.26
14/02/1987,401.12
14/03/1987,408.91
14/04/1987,438.35
14/05/1987,460.23
14/06/1987,449.59
14/07/1987,450.52
14/08/1987,461.15
14/09/1987,460.2
14/10/1987,465.36
14/11/1987,467.57
14/12/1987,486.31
14/01/1988,476.58
14/02/1988,442.07
14/03/1988,443.61
14/04/1988,451.55
14/05/1988,451.01
14/06/1988,451.33
14/07/1988,437.63
14/08/1988,431.31
14/09/1988,412.79
14/10/1988,406.78
14/11/1988,420.17
14/12/1988,418.49
14/01/1989,404.01
14/02/1989,387.78
14/03/1989,390.15
14/04/1989,384.06
14/05/1989,371
14/06/1989,367.6
14/07/1989,375.04
14/08/1989,365.37
14/09/1989,361.75
14/10/1989,366.88
14/11/1989,394.26
14/12/1989,409.39
14/01/1990,410.11
14/02/1990,416.83
14/03/1990,393.07
14/04/1990,374.27
14/05/1990,369.19
14/06/1990,352.33
14/07/1990,362.53
14/08/1990,394.73
14/09/1990,388.41
14/10/1990,380.74
14/11/1990,381.73
14/12/1990,378.16
14/01/1991,383.64
14/02/1991,363.83
14/03/1991,363.33
14/04/1991,358.39
14/05/1991,356.82
14/06/1991,366.72
14/07/1991,367.68
14/08/1991,356.23
14/09/1991,348.74
14/10/1991,358.69
14/11/1991,360.17
14/12/1991,361.06
14/01/1992,354.45
14/02/1992,353.89
14/03/1992,344.35
14/04/1992,338.5
14/05/1992,337.23
14/06/1992,340.8
14/07/1992,353.05
14/08/1992,342.96
14/09/1992,345.55
14/10/1992,344.38
14/11/1992,335.87
14/12/1992,334.8
14/01/1993,329.01
14/02/1993,329.35
14/03/1993,330.08
14/04/1993,342.07
14/05/1993,367.18
14/06/1993,371.89
14/07/1993,392.19
14/08/1993,378.84
14/09/1993,355.27
14/10/1993,364.18
14/11/1993,373.83
14/12/1993,383.35
14/01/1994,386.88
14/02/1994,381.91
14/03/1994,384.13
14/04/1994,377.27
14/05/1994,381.26
